name,sortA,sortA1,sortA2,sortA3,sortB,sortB1,sortB2,sortB3,sortC,sortC1,sortC2,sortC3,sortD,sortD1,sortD2,sortD3
g1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
g3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
g4,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0
g5,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0
g6,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0
g7,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0
g8,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0
g9,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0
g10,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0
g11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0
g12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15
